74	26	_	make	For this is he who was spoken of by Isaiah the prophet , saying , &quot; The voice of one crying in the wilderness , make ready the way of the Lord .	file://conllu/en/bibl.en_web.MAT.conllu#s74_0	
75	1	_	make	Make his paths straight . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s75_0	
76	5	_	clothing	Now John himself wore clothing made of camel 's hair , with a leather belt around his waist .	file://conllu/en/bibl.en_web.MAT.conllu#s76_0	
77	3	and?	be (be locusts)	His food was locusts and wild honey .	file://conllu/en/bibl.en_web.MAT.conllu#s77_0	
78	17	then?	go	Then people from Jerusalem , all of Judea , and all the region around the Jordan went out to him .	file://conllu/en/bibl.en_web.MAT.conllu#s78_0	
79	3	_	baptize	They were baptized by him in the Jordan , confessing their sins .	file://conllu/en/bibl.en_web.MAT.conllu#s79_0	
80	4	when?	see (see say)	But when he saw many of the Pharisees and Sadducees coming for his baptism , he said to them , &quot; You offspring of vipers , who warned you to flee from the wrath to come ?	file://conllu/en/bibl.en_web.MAT.conllu#s80_0	
81	2	therefore?	bring	Therefore bring forth fruit worthy of repentance !	file://conllu/en/bibl.en_web.MAT.conllu#s81_0	
82	3	_	think	Do n't think to yourselves ,	file://conllu/en/bibl.en_web.MAT.conllu#s82_0	
83	3	for?	have	' We have Abraham for our father , ' for I tell you that God is able to raise up children to Abraham from these stones .	file://conllu/en/bibl.en_web.MAT.conllu#s83_0	
84	6	_	lie	&quot; Even now the axe lies at the root of the trees .	file://conllu/en/bibl.en_web.MAT.conllu#s84_0	
85	13	therefore?	cut	Therefore , every tree that does n't bring forth good fruit is cut down , and cast into the fire .	file://conllu/en/bibl.en_web.MAT.conllu#s85_0	
86	3	indeed?	baptize	I indeed baptize you in water for repentance , but he who comes after me is mightier than I , whose shoes I am not worthy to carry .	file://conllu/en/bibl.en_web.MAT.conllu#s86_0	
87	3	_	baptize	He will baptize you in the Holy Spirit .	file://conllu/en/bibl.en_web.MAT.conllu#s87_0	
88	4	and?	be (be hand)	His winnowing fork is in his hand , and he will thoroughly cleanse his threshing floor .	file://conllu/en/bibl.en_web.MAT.conllu#s88_0	
89	3	but?	gather	He will gather his wheat into the barn , but the chaff he will burn up with unquenchable fire . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s89_0	
90	3	then?	come	Then Jesus came from Galilee to the Jordan to John , to be baptized by him .	file://conllu/en/bibl.en_web.MAT.conllu#s90_0	
91	5	but?	hinder	But John would have hindered him , saying , &quot; I need to be baptized by you , and you come to me ? &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s91_0	
92	11	but?	allow (allow say)	But Jesus , answering , said to him , &quot; Allow it now , for this is the fitting way for us to fulfill all righteousness . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s92_0	
93	3	then?	allow	Then he allowed him .	file://conllu/en/bibl.en_web.MAT.conllu#s93_0	
94	8	when?	go	Jesus , when he was baptized , went up directly from the water :	file://conllu/en/bibl.en_web.MAT.conllu#s94_0	
95	7	and?	open	and behold , the heavens were opened to him .	file://conllu/en/bibl.en_web.MAT.conllu#s95_0	
96	2	and?	see	He saw the Spirit of God descending as a dove , and coming on him .	file://conllu/en/bibl.en_web.MAT.conllu#s96_0	
97	9	_	say	Behold , a voice out of the heavens said , &quot; This is my beloved Son , with whom I am well pleased . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s97_0	
98	4	then?	lead	Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil .	file://conllu/en/bibl.en_web.MAT.conllu#s98_0	
99	12	afterward?	be (be hungry)	When he had fasted forty days and forty nights , he was hungry afterward .	file://conllu/en/bibl.en_web.MAT.conllu#s99_0	
100	3	and?	come	The tempter came and said to him , &quot; If you are the Son of God , command that these stones become bread . &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s100_0	
101	8	but?	write (write answer)	But he answered , &quot; It is written , ' Man shall not live by bread alone , but by every word that proceeds out of the mouth of God . ' &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s101_0	
102	4	then?	take	Then the devil took him into the holy city .	file://conllu/en/bibl.en_web.MAT.conllu#s102_0	
103	12	for?	say (say set)	He set him on the pinnacle of the temple , and said to him , &quot; If you are the Son of God , throw yourself down , for it is written , ' He will put his angels in charge of you . ' and ,	file://conllu/en/bibl.en_web.MAT.conllu#s103_0	
104	7	so?	bear	' On their hands they will bear you up , so that you do n't dash your foot against a stone . ' &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s104_0	
105	11	_	write (write say)	Jesus said to him , &quot; Again , it is written , ' You shall not test the Lord , your God . ' &quot;	file://conllu/en/bibl.en_web.MAT.conllu#s105_0	
